handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,category_1_unified,category_2_unified,category_primary,if_exist
gheayoubi08,Gheayoubi,7900000,3200000,171100,1200,1600,,,,0
annaxsitar,anna x,11600000,3000000,461200,723,381,,,,0
y.i.m_,Отборный юмор и комедия 🎭,177500,1400000,121300,1200,7700,,,,0
matsu_kusarine,ラブマツ (LOVEMATSU),563900,2900000,186400,1800,1000,,,,0
beinsports,beINSPORTS,1200000,1700000,213800,2200,1900,,,,0
_mister_z,Marco Zedda,4500000,1600000,272200,2400,995,,,,0
.shuberrr,максончиq,5800,2000000,152700,2100,2800,,,,0
maharanikemala,maharanikemala,3200000,2500000,156200,1800,2000,,,,0
analisseworld,Analisseworld,9900000,2100000,328900,967,1200,,,,0
jairsanchezzz,Jair Sanchez,6200000,1300000,226900,1800,3500,,,,0
machikayt,MachikaYT,12000000,1900000,291100,2200,558,,,,0
michaelrendyw,Michael Rendy W,4600000,3900000,293600,740,558,,,,0
dobretwins,Lucas and Marcus,35200000,1800000,221400,3300,498,,,,0
swagboyq,SwagBoyQ on IG,23400000,3000000,216600,1400,858,,,,0
xoomid,Xoomid,8200,1100000,135300,4200,5700,,,,0
_nch04,𝐍𝐠𝐮𝐲𝐞̂̃𝐧 𝐇𝐚̉𝐢,4800000,2500000,209100,1400,1400,,,,0
davidgalvanv,David Galván,3900000,2600000,244200,1500,807,,,,0
usernamepuntaktahu,CEO OF SEKOLAH,587700,2200000,293300,1700,595,,,,0
primkung007,PRIMKUNG,2100000,1400000,259900,3500,575,,,,0
isabelgiannuzzi,Isabel,1100000,3500000,298100,1200,187,,,,0
baileyspinn,bailey,11100000,2300000,296100,2000,137,,,,0
summerwalker,Summer Walker,1600000,1100000,199200,3300,3300,,,,0
huynh_quang_6767,Huỳnh Quang - Bảo Ngọc,457600,2100000,185600,3400,337,,,,0
bs_fo4eek,Fo4eek,36900,1900000,158800,2600,2100,,,,0
carloandsarah,,3300000,2400000,188400,1200,1900,,,,0
nadaakkhaledd,Nada khaled,2700000,2100000,275900,1300,1100,,,,0
ups,UPS,92600,1200000,136700,2200,6300,,,,0
ninja,Ninja,8300000,2300000,216200,1600,1400,,,,0
attahalilintar,Atta Halilintar,10100000,2600000,288900,1300,661,,,,0
nam.per,Nam Per,1600000,2500000,225000,1500,987,,,,0
leal_stephany,Stephany Leal,13100000,1700000,351200,738,1600,,,,0
lucaslopezvilet,Lucas Lopez,2400000,1300000,191400,1300,4500,,,,0
vlad.hoshin,HOSHIN,11400000,1100000,250800,4100,1000,,,,0
kauanahofem,Kau,7000000,1800000,262900,1800,1200,,,,0
xolyssarosexo,Lyssa,60100,1600000,92600,8700,1100,,,,0
joe.bartolozzi,Joe Bartolozzi,17800000,1500000,296700,2800,376,,,,0
maxkhadarr,max khadar,1300000,1100000,197600,3000,3400,,,,0
jacksonaces,JACKSON ACES MAGIC🎩,6200000,1500000,93000,3000,6900,,,,0
ninjagirldraws,Dania,3600000,1700000,147100,2000,3500,,,,0
trien.13,TRIỂN CHILL,491400,1300000,177100,3900,2100,,,,0
connordewolfe,Connor DeWolfe,5300000,1100000,276000,1500,3000,,,,0
loupernaut,Lou PERNAUT,1300000,2400000,280700,1800,198,,,,0
bxyeditss,[panyo ni irene],419400,1100000,202500,2800,3400,,,,0
totochegang,Anto,1400000,1400000,275400,1400,2300,,,,0
luciiasanese,lu,30100,1200000,186900,2700,3600,,,,0
nickandcarrie,Nick&Carrie,5600000,1900000,290500,1000,1500,,,,0
juanchimy,Juan Lopez,2700000,1400000,325100,1700,1300,,,,0
bene.schulz,Bene,5700000,2000000,254600,1600,1100,,,,0
com.amugiri2,【コムドット】あむぎり,712300,1300000,200100,3800,1400,,,,0
goldwin.reyes,GOLDWIN REYES,1500000,2500000,335300,964,659,,,,0
lulu_pt,Lulu,299600,1900000,223900,921,2200,,,,0
itskingchris,KingChristian,15300000,1400000,258600,2200,1700,,,,0
fahmi.nm,Fahmi,7600000,2200000,237400,1800,748,,,,0
farhanrn__,FARHAN,3800000,1700000,281900,1800,1000,,,,0
liltjay,Lil Tjay,4400000,1800000,221200,2700,775,,,,0
vilmeijuga,VILMEI✨,8400000,1700000,169200,3500,1100,,,,0
faryanggaa,Ryann,4400000,1700000,272200,1900,1000,,,,0
gordeewa__13,вечно изящная,9500000,2600000,214500,1800,604,,,,0
fadiljaidi,Fadil Jaidi,7500000,2500000,351600,967,543,,,,0
darianrojasc,D A R I A NR O J A S,29400000,3100000,445000,575,385,,,,0
ibaillanos,Ibai,8900000,1500000,260500,1300,2000,,,,0
tsezy,Tommy,4800000,2000000,253500,1900,735,,,,0
linhkool1993,Linh Kool,4500000,3300000,330300,954,256,,,,0
rayanfahmi,Rayoon,3200000,2200000,192000,2100,1100,,,,0
unnecessaryinventions,unnecessaryinvention,4600000,2200000,194600,2000,1100,,,,0
basementgang,Basement Gang,5000000,1400000,275200,1400,2100,,,,0
bessan_esmail,بيسان اسماعيل - Bessan Ismail,10100000,1800000,132100,4200,1400,,,,0
com.yuma1214,【コムドット】ゆうま,812700,1300000,188300,3900,1400,,,,0
anggun_core,anggun✨,14800000,3600000,178000,1300,697,,,,0
xibibrothers,Xibi Brothers,7600000,1800000,246500,888,2000,,,,0
moni_lina,MoniLina,14500000,7700000,128100,367,942,,,,0
avani,avani,40400000,1800000,237600,2100,874,,,,0
haijoel,Haijoel,409500,2800000,167700,2500,279,,,,0
samanthayve,samantha eve,5800000,1300000,205400,3400,1400,,,,0
hoaa.hanassii,Đào Lê Phương Hoa,10800000,1600000,255300,2400,695,,,,0
ryanbakery,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,1100000,1600000,171300,2400,2400,,,,0
djprecise,DJ Precise,3400000,1700000,186400,3100,897,,,,0
jeffreestar,Jeffree Star,2200000,2100000,208400,2000,872,,,,0
christiandaloii_,Christiandaloii_,2900000,1500000,197400,2500,1900,,,,0
abdullah_eltourky,Eltourky 👑,6700000,2000000,235700,1200,1400,,,,0
oironyoliveira,Kbuloso 😈,5900000,1300000,87300,490,10900,,,,0
lana_mohd89,𝑳𝑨𝑵𝑨 🦋,4400000,2100000,161700,2400,1200,,,,0
lyrico__,ʟʏʀɪᴄᴏ,2900000,1100000,105600,1100,10100,,,,0
beasteater,BeastEater,18000000,2700000,248400,1700,208,,,,0
nick.digiovanni,nick.digiovanni,8600000,2100000,295300,1200,778,,,,0
milosramen,Jacob🇭🇳,1300000,2200000,272900,1400,665,,,,0
steveharvey,Steve Harvey,9200000,1800000,176800,1700,2400,,,,0
ngoanhtan1,Bạn Tấn chúa tể nỗi buồn,777600,1600000,153100,2700,2400,,,,0
gemelasabello2,gemelasabello2,13200000,2600000,293200,693,950,,,,0
creatorar,Arpostt,624100,1700000,141300,733,4400,,,,0
vanrezaputra,Elaina,320100,1900000,163300,2300,1800,,,,0
bestluxurycars,Bestluxurycars,3000,769500,136900,1400,10200,,,,0
johaanzu,JohaanZu,3600000,1700000,320200,1600,716,,,,0
nelyrall,NELYRALL,4600000,1100000,214500,1900,3500,,,,0
leigh_mcnasty,Leigh McClendon,2800000,1000000,157000,1300,6100,,,,0
xo4y_remont56,user4538340664186,82900,2700000,67400,589,6000,,,,0
sofarsabi,SOFARSABI,5500000,2100000,208400,2200,584,,,,0
cerolzera,CEROL,4100000,1700000,180400,2700,1300,,,,0
animalize21,animalize21🔥,10300000,2000000,248100,1400,1000,,,,0
itspierreboo,Pierre,12500000,1900000,278300,1600,753,,,,0
lorengray,Loren Gray,54300000,1800000,248400,1500,1200,,,,0
football.tonight,football.tonight,391500,2000000,152200,2300,1600,,,,0
danielmidas,danielmidas,281800,1400000,119100,1600,5500,,,,0
laila_mahmoud62,ليلي محمود ♥️,3000000,3400000,204700,772,931,,,,0
quintongriggs,Q U I N T O N,6400000,1400000,169800,3300,1700,,,,0
erictro,Eric Tro,2200000,3700000,358800,453,438,,,,0
doongool,🔥Dongol🔥,3100000,2200000,255000,1100,1000,,,,0
madozilla,mad,5700000,888900,194400,3900,2900,,,,0
anxietycouple,Anxiety couple,10700000,2600000,274900,765,886,,,,0
nildachiaraviglio,NildaChiaraviglio,798900,1300000,117900,723,7000,,,,0
haccon.01,𝐇𝐚̣𝐜 𝐂𝐨𝐧🦩,325100,1900000,157800,3600,314,,,,0
fukada0318,深田えいみ,4600000,2000000,150800,2600,1300,,,,0
ahmedbasyoni,Ahmed Basyoni,1200000,1700000,125900,2400,3000,,,,0
sinadeinert,sinadeinert,5500000,967700,207500,4600,1200,,,,0
austinandlexi,⚡️Austin & Lexi 💥,3200000,1300000,253300,1500,2000,,,,0
jayrscottyy,Jordan Scott,2300000,900600,173100,3700,3700,,,,0
manja_faiez,Manja,593100,1500000,128000,2200,3800,,,,0
moontellthat,MOONTELLTHAT,13100000,2300000,156900,1700,1600,,,,0
baraa.bolat,@baraabolat,1600000,2300000,143900,2500,959,,,,0
yurika_aruno,Danone💕,2800000,1300000,209900,2900,1300,,,,0
360tv,ARISHA ROSS,9900000,2000000,162000,3000,461,,,,0
its.__yara,its._yara,749500,1100000,65400,7300,8600,,,,0
ava_love33,Ava Love,2700000,1500000,299500,2100,471,,,,0
mohaimen.alaa,مهيمن علاء,2900000,1200000,190400,3500,1500,,,,0
officialsalicerose,Salice Rose,18600000,1100000,201300,1800,3400,,,,0
hisoyvaleria,➖V A L E R I A ➖,6200000,2700000,354700,803,380,,,,0
saaihalilintar,SAAIH HALILINTAR,4300000,3000000,272400,893,492,,,,0
pierson,Pierson,12500000,2000000,287000,1700,306,,,,0
mursid241,Mursid,2200000,2400000,179100,2300,416,,,,0
stayc_official,STAYC,1300000,1600000,181100,2900,1000,,,,0
liamsilk,Liam Silk,6900000,890600,249600,2600,2500,,,,0
deangerald,𝕯𝖊𝖆𝖓,382000,1300000,193900,607,3800,,,,0
polya_tuti,Поля тут🔥👇,2300000,3100000,250600,711,730,,,,0
trevorwallace,trevor wallace,7300000,1500000,208700,759,2800,,,,0
jarvali,Jarvis,2200000,1200000,251700,2100,1600,,,,0
gertieinar,Gerti & Megi,2500000,4000000,162300,904,835,,,,0
_angelomarasigan,Angelo,484000,1400000,206700,2100,1800,,,,0
lupinelakes,Lupine,81400,1900000,376200,781,811,,,,0
jauncydev,jonny devaney,1500000,1100000,172000,1300,4600,,,,0
ivoryowl,Makayla,1100000,1400000,238000,1800,1500,,,,0
joshrichards,Josh Richards,25600000,2200000,297800,991,691,,,,0
haga7_dayo,HAGA SEVEN/ No War🕊,1700000,2800000,120900,914,2300,,,,0
itsmenicksmithy2,Nick Smithyman 😎,9800000,1600000,217000,1900,1400,,,,0
so_andreyy,So_Andrey,541100,2200000,111800,537,4000,,,,0
la.maraaa,LA MARA,6100000,959700,213900,5100,277,,,,0
paulorgds,paulo🌻,375900,1400000,224900,1300,2200,,,,0
murphslife,Aaron Murphy,4700000,1500000,173400,1400,2800,,,,0
okthatscreepy,OkThat’sCreepy,366800,3100000,144300,1200,1300,,,,0
dylanpage.ning,Dylan Page,2500000,1200000,196900,2800,1900,,,,0
fabiola.baglieri,𝐹𝑎𝑏𝑖𝑜𝑙𝑎,11600000,2400000,288700,1300,294,,,,0
tnt_500,ทาจิมานะ เรียว,24100,1700000,236500,1200,1600,,,,0
rawanfahmii,rawan,3400000,1800000,189700,1700,1500,,,,0
bigcheese8581,Matt “Big Cheese”,7600,1300000,187300,581,4000,,,,0
demin02_,Никита,1000000,1400000,223400,1900,1600,,,,0
charlyokei,Charlyy,3700000,2400000,300100,914,583,,,,0
pollyjaewebster,Polly-Jae,158400,1600000,188800,2200,1400,,,,0
leventgeiger,Levent Geiger,3100000,1200000,165500,2600,2900,,,,0
floofnoodles,Floofnoodles,17000000,1300000,154000,1800,3800,,,,0
stwartabdala,•  R A T O N C I T O 🧀🐁,538800,932600,79200,905,13600,,,,0
com.yuta0305,【コムドット】ゆうた,1000000,949100,179700,4300,2000,,,,0
kxmzzzy,kxmz,370100,2000000,218300,999,1400,,,,0
faulox_,faulox,6800000,1700000,172400,2700,1000,,,,0
yourrkayesss,kayess,4800000,1100000,169000,3200,2800,,,,0
oliviaalpert,Olivia Alpert,52700,2600000,139100,1900,996,,,,0
brodywellmaker,Brody Wellmaker,20300000,1800000,229800,1300,1300,,,,0
ranierao,rani,18100,929900,251600,2600,1900,,,,0
antrobo10,Anthony,545000,850400,128100,2300,7200,,,,0
therealmaneskin,Måneskin,5400000,1100000,214000,2900,1500,,,,0
gustavomeloof,Gustavo Melo,4600000,1200000,86800,1300,8600,,,,0
samsamne0,Sam Samm,709400,2100000,187700,1800,893,,,,0
bassant33,🔥bassantOfficial🔥,4500000,2700000,162200,1600,793,,,,0
aichangemoy_,YT : AiChan TV,6600000,1700000,191200,2500,680,,,,0
jaytorresss,Jay Torres,3800000,1800000,242700,844,1600,,,,0
xvusex,T,21100,951600,199100,1300,4100,,,,0
sibenitoo,SiBenitoo,4700000,2200000,140000,1700,1700,,,,0
jumpersjump,Jumpers Jump Podcast,6400000,2100000,220100,1700,486,,,,0
williesalim,WILLIE SALIM,8300000,1900000,148200,2900,713,,,,0
itsari.aleise,Arianna Hailey,11800000,1700000,322800,1600,359,,,,0
arilbjn,Mochamad,51300,1300000,221900,955,2700,,,,0
camxnie,Cam & Nie,3200000,1400000,173900,544,3700,,,,0
cristobalsoria,Cristóbal Soria,572000,1200000,120200,4400,2700,,,,0
japeth023,japeth023,557900,1500000,194200,1600,1900,,,,0
venao2323,YANFRY EL TIERNO🙈,4200000,1500000,166600,1000,3000,,,,0
kuki_yt,Kuki_youtube,1800000,1500000,315700,1300,774,,,,0
ozikoy,KOY,6900000,2200000,186400,1200,1300,,,,0
swaghoe666,Tik Toker,1400000,2100000,306500,1100,501,,,,0
robsonabreu,Robson Abreu,3200000,1400000,82000,8300,470,,,,0
juliagisella,Julia Gisella,10200000,784400,186900,3100,3700,,,,0
andreslleal,Andrés Leal,2800000,1700000,91600,3700,2900,,,,0
gabryellurlan,Gabryell Urlan,6800000,1400000,221900,1200,2100,,,,0
kagramanana,kagramana,6200000,1200000,184100,1000,3500,,,,0
yizaroff,YIZARO,4000000,1400000,225100,2600,611,,,,0
adamw,Adam W,15700000,1800000,179500,1100,1900,,,,0
xoteam,XO Team,32100000,2100000,222900,1600,481,,,,0
saydenseay,Sayden,3300000,938900,257300,1600,2500,,,,0
justthenobodys,JustTheNobodys,7100000,1400000,175800,2200,1800,,,,0
snerixx,Sam Erix,8000000,1900000,369200,1000,361,,,,0
valenrewah,Valent,7500000,2400000,272600,929,605,,,,0
cheekyboyos,the cheeky boyos,10900000,1800000,252800,1300,867,,,,0
cokodive,cokodive,188500,871100,172500,2800,3700,,,,0
_tusya_kiskis,_Tusya_kiskis,6700000,1400000,161200,1500,2800,,,,0
danaandthewolf,danaandthewolf,187300,2500000,252500,824,712,,,,0
pakoyaso_,Pakoyaso,9500000,1800000,216100,1200,1400,,,,0
zhenyalavrik,Переезд в Турцию 🇹🇷,364500,3200000,69400,1800,2600,,,,0
teukuryantr,teukuryantr,3100000,1700000,236800,1300,1100,,,,0
jamescharles,James Charles,36100000,1700000,191600,2200,752,,,,0
zhenyalavrik,Переезд в Турцию 🇹🇷,364500,3200000,69400,1800,2600,,,,0
teukuryantr,teukuryantr,3100000,1700000,236800,1300,1100,,,,0
jamescharles,James Charles,36100000,1700000,191600,2200,752,,,,0
cardncyn,Carddd,1500000,2500000,271100,791,623,,,,0
mariahandbill,Mariah and Bill ღ,13900000,2700000,217800,1200,462,,,,0
jamal.jamael,Karim Jamal,2600000,1400000,203400,2400,991,,,,0
nastasyashinee,🇮🇩 BAGUS ISTRI 🇮🇩,4900000,2500000,154500,1600,880,,,,0
riska_nurwidia,Riska Nur Widia,2600000,2500000,276800,623,755,,,,0
ermo1enko,🖤ТВОЯ ВЕЧЕРИНКА🖤,1700000,1700000,326300,870,849,,,,0
mackenzieziegler,Mackenzie Ziegler,22100000,2100000,325500,1000,380,,,,0
yarenalaca,Yaren Alaca,5400000,1600000,119200,4600,513,,,,0
gabrielvalland,Gabriel Valland,958200,1100000,257900,1700,1700,,,,0
judiitharias,Judith & Ángel 🙋🏻‍♀️🙋🏽‍♂️,15700000,3100000,302000,763,249,,,,0
adamrayokay,ADAMRAY,6800000,1900000,217600,1700,629,,,,0
ethob0t,Ethobot,534200,2400000,203100,1300,668,,,,0
soylapizito,lapizito,13300000,2100000,277200,1200,442,,,,0
fadeewa_makeup,Фадеева🦞,760200,1300000,113200,1700,4600,,,,0
rosssmith,Ross Smith,21800000,1400000,263300,814,1700,,,,0
bentleybuilds,Bentley Bastian,72000,3100000,77600,826,3100,,,,0
edwinmendozza,𝖊𝖉𝖜𝖎𝖓,14200000,1800000,393600,1000,349,,,,0
cocielo,Júlio Cocielo,4300000,1300000,204600,1500,2000,,,,0
riqqo_,Riqqo_,66000,2900000,170300,1500,361,,,,0
lgndfrvr,LGNDFRVR,15800000,1900000,241300,670,1300,,,,0
jajad5,jajad5,630800,982400,263800,2100,1500,,,,0
cocinaconcoqui,cocinaconcoqui,2000000,1400000,278300,628,1700,,,,0
rucenuenda1,Ruce Nuenda,1100000,1600000,280900,1500,589,,,,0
thaotaotau,Phương Thảo,5100000,2500000,267900,1200,237,,,,0
brycehall,Bryce Hall,21300000,2400000,283200,901,476,,,,0
just_dt,Dt,8900000,1100000,198600,1800,2500,,,,0
seleterr,seleterr,27100,1500000,180500,807,2500,,,,0
teamsport_philipp,Teamsport_Philipp,23200,957200,140400,2100,4600,,,,0
arananadam38,Okan Taşdemir,175100,2000000,60000,967,6600,,,,0
mngnzls,MONA,13000000,2600000,191100,1500,310,,,,0
niico_pr,миша,1100000,1400000,197700,1900,1300,,,,0
keemokazi,KEEMOKAZI,26000000,2100000,256000,1400,293,,,,0
vivi,Vivi,10300000,1700000,224700,2000,412,,,,0
german_crusader,Stardust Crusader,99000,902500,149000,1600,5100,,,,0
whitehernandez,Blanca Hernández,112600,1400000,229700,1400,1400,,,,0
shyazryne,aEiOu,86200,2900000,316000,595,373,,,,0
rozhkova.olesya,Roozhkova,850000,1500000,197200,964,2100,,,,0
mosqvin_,Та самая училка❤️🔥,2600000,1900000,348500,714,637,,,,0
sepultacion,mari,6400000,1300000,301400,1900,404,,,,0
kaansanity,aakaanksh,4900000,1100000,86400,569,8800,,,,0
dizzlipin,diZzLipin,909600,1900000,79900,5500,356,,,,0
aldomirandar,😂 Aldo Miranda 😂,8400000,1300000,212700,605,2700,,,,0
nicolebernaal,nicolebernaal,4000000,2200000,351300,957,195,,,,0
bellaretamosa,bella,5100000,2500000,340400,901,145,,,,0
tunico80,🌠Antonio Tonon🌠,5800000,1000000,206800,2000,2100,,,,0
armon.warren,Armoney,1200000,1900000,300800,904,630,,,,0
soanhvadiephihi,Soanh x Diệp 💎,1600000,2600000,273200,720,530,,,,0
