handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,category_1_unified,category_2_unified,category_primary,if_exist
kunaguero,Sergio Leonel Agüero,Sports with a ball,,22400000,Argentina,458400,794500,Sports,,Sports,1
kyliejenner,Kylie 🤍,Fashion,Modeling,323300000,United States,7600000,12300000,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
kyo1122,Song hyekyo,Cinema & Actors/actresses,,12900000,Indonesia,636200,810500,Entertainment,,Entertainment,1
kyrieirving,K.A.I Hélà,Sports with a ball,,16200000,United States,142700,216800,Sports,,Sports,1
l7nnon,L7,Lifestyle,Shows,6300000,Brazil,214000,507900,Lifestyle,Entertainment,Lifestyle,1
la_segura,LA SEGURA ♛ ♥,Cinema & Actors/actresses,,8200000,Colombia,335200,411300,Entertainment,,Entertainment,1
lacikaysomers,Laci Kay Somers,Music,Modeling,11800000,United States,147500,253700,Music,Beauty/Fashion,Music,1
ladivaza,✨LA DIVAZA✨,Music,Modeling,6800000,Mexico,388900,474500,Music,Beauty/Fashion,Music,1
ladygaga,Lady Gaga,Music,Cinema & Actors/actresses,51900000,United States,498300,700000,Music,Entertainment,Music,1
lakers,Los Angeles Lakers,Sports with a ball,,19300000,United States,85800,132400,Sports,,Sports,1
lalalalisa_m,LISA,Music,,75700000,Indonesia,7500000,8600000,Music,,Music,1
lamborghini,Lamborghini,Luxury,Cars & Motorbikes,31600000,India,174400,240500,Beauty/Fashion,,Beauty/Fashion,1
lanacondor,,Cinema & Actors/actresses,,10900000,Brazil,283000,385700,Entertainment,,Entertainment,1
larasilva,Lara Silva 💦,Shows,Adult content,16800000,Brazil,789000,1200000,Entertainment,,Entertainment,1
larissamanoela,Larissa Manoela,Cinema & Actors/actresses,,44800000,Brazil,192100,320400,Entertainment,,Entertainment,1
larray,larri,Lifestyle,Modeling,6700000,United States,357000,521500,Lifestyle,Beauty/Fashion,Lifestyle,1
laurenlondon,Lauren London,Cinema & Actors/actresses,Modeling,9700000,United States,217700,371600,Entertainment,Beauty/Fashion,Entertainment,1
ldh_sky,이도현,,,5500000,Indonesia,978400,1300000,,,,0
leaelui,Lea Elui G,Modeling,Lifestyle,11700000,India,428400,719500,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
leedongwook_official,이동욱 (Official_Instagram),Cinema & Actors/actresses,,14100000,Indonesia,1000000,1400000,Entertainment,,Entertainment,1
leeyoum262,이유미,Photography,Humor & Fun & Happiness,8100000,South Korea,562700,688800,Lifestyle,Entertainment,Lifestyle,1
leighannepinnock,Leigh-Anne Pinnock,Music,,8500000,Brazil,279100,398000,Music,,Music,1
lelepons,Lele Pons,Music,,47700000,Mexico,724300,1100000,Music,,Music,1
leomessi,Leo Messi,Sports with a ball,Family,315400000,Argentina,4000000,5300000,Sports,Lifestyle,Sports,1
leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses,,52800000,United States,132000,166200,Entertainment,,Entertainment,1
ler_chek,Валерия Чекалина,Lifestyle,Beauty,10500000,Russia,713000,923300,Lifestyle,Beauty/Fashion,Lifestyle,1
lestykejora,Lestikejora,Music,,24900000,Indonesia,372900,484000,Music,,Music,1
letthelordbewithyou,Scott Disick,Lifestyle,Family,26500000,United States,61500,92200,Lifestyle,Lifestyle,Lifestyle,1
lewishamilton,Lewis Hamilton,Racing Sports,,27500000,Brazil,819900,1200000,Sports,,Sports,1
lexibrookerivera,Lexi Rivera,Shows,Humor & Fun & Happiness,8400000,United States,778000,975400,Entertainment,Entertainment,Entertainment,1
liampayne,Liam Payne,Music,,24100000,United States,420400,585500,Music,,Music,1
lilbaby,WHAM,Music,,18800000,United States,475400,876500,Music,,Music,1
lildurk,DURKIOOO,Music,Art/Artists,13000000,United States,162100,458200,Music,Lifestyle,Music,1
lilireinhart,Lili Reinhart,Cinema & Actors/actresses,,29000000,Brazil,1500000,2200000,Entertainment,,Entertainment,1
lilnasx,MONTERO,Music,,12200000,United States,815500,1400000,Music,,Music,1
liluzivert,,Music,,15800000,United States,1100000,2000000,Music,,Music,1
lilyjcollins,Lily Collins,Cinema & Actors/actresses,,26900000,United States,314300,467300,Entertainment,,Entertainment,1
linatejeiro,Lina Tejeiro.,Cinema & Actors/actresses,,9200000,Colombia,237700,287000,Entertainment,,Entertainment,1
lisakudrow,Lisa Kudrow,Cinema & Actors/actresses,,8500000,India,356600,475700,Entertainment,,Entertainment,1
litkillah,MAWZ💬,Music,,7200000,Argentina,438700,578400,Music,,Music,1
littlebodybigheart,Melanie Martinez,Music,,11100000,Brazil,913100,1200000,Music,,Music,1
littlemix,Little Mix,Music,,15400000,Brazil,172100,232000,Music,,Music,1
liverpoolfc,Liverpool Football Club,Sports with a ball,,36700000,United Kingdom,100200,138200,Sports,,Sports,1
lizakoshy,Liza Koshy,Cinema & Actors/actresses,,19600000,United States,156300,208800,Entertainment,,Entertainment,1
lizasoberano,Liza Soberano,Beauty,Cinema & Actors/actresses,16900000,Philippines,243100,289900,Beauty/Fashion,Entertainment,Beauty/Fashion,1
lizgillz,Elizabeth Gillies,Music,Cinema & Actors/actresses,13900000,Mexico,563000,816300,Music,Entertainment,Music,1
lizzobeeating,Lizzo,Music,Lifestyle,12100000,United States,213100,298300,Music,Lifestyle,Music,1
loganpaul,Logan Paul,Fitness & Gym,,22500000,United States,549400,733800,Sports,,Sports,1
lomon991111,Lomon 991111,,,5700000,,0,1700000,,,,0
loren,loren gray,Fashion,Modeling,22500000,United States,137300,227300,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
loud_babi,Bárbara Passos,Lifestyle,,9200000,Brazil,200100,323500,Lifestyle,,Lifestyle,1
loud_victor,Victor Augusto,Lifestyle,Sports with a ball,10400000,Brazil,511200,652300,Lifestyle,Sports,Lifestyle,1
louist91,Louis Tomlinson,Music,,18200000,Brazil,1100000,1500000,Music,,Music,1
louisvuitton,Louis Vuitton,Fashion,Clothing & Outfits,47700000,Brazil,46200,59700,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
lucas_lira,Lucas Lira,Humor & Fun & Happiness,Lifestyle,5800000,Brazil,296500,434300,Entertainment,Lifestyle,Entertainment,1
lucasranngel,LUCAS RANGEL,Lifestyle,,19200000,Brazil,186800,412300,Lifestyle,,Lifestyle,1
lucyhale,Lucy Hale,Cinema & Actors/actresses,,24300000,United States,183500,240400,Entertainment,,Entertainment,1
ludmilla,Ludmilla,Music,,26500000,Brazil,143500,212600,Music,,Music,1
luisafernandaw,Luisa Fernanda W,Lifestyle,Beauty,16900000,Colombia,106300,162100,Lifestyle,Beauty/Fashion,Lifestyle,1
luisasonza,LUÍSA SONZA,Music,Lifestyle,28200000,Brazil,125100,198900,Music,Lifestyle,Music,1
luisitocomunica,Luisillo El Pillo,Humor & Fun & Happiness,Clothing & Outfits,31700000,Mexico,939800,1200000,Entertainment,Beauty/Fashion,Entertainment,1
luissuarez9,Luis Suarez,Sports with a ball,,43000000,Brazil,238800,356500,Sports,,Sports,1
lukamodric10,Luka Modric,Sports with a ball,,21600000,Spain,419800,616300,Sports,,Sports,1
lunay,EL NIÑO 👶🏻,Music,,10300000,Mexico,202600,296600,Music,,Music,1
luvadepedreiro,Iran Ferreira,,,9500000,Brazil,910400,2100000,,,,0
lynaritaa,Lyna Perez,,,8600000,United States,227100,299400,,,,0
m_kayoung,MUN KA YOUNG,Cinema & Actors/actresses,,7900000,Indonesia,1100000,1500000,Entertainment,,Entertainment,1
m10_official,Mesut Özil,Sports with a ball,,24000000,Turkey,526600,738300,Sports,,Sports,1
machinegunkelly,the Blonde Don,Music,,9600000,United States,284000,457500,Music,,Music,1
maddieziegler,maddie,Cinema & Actors/actresses,Modeling,13900000,United States,533400,799900,Entertainment,Beauty/Fashion,Entertainment,1
madelame,Madelaine Petsch,Cinema & Actors/actresses,,25300000,Russia,1300000,1800000,Entertainment,,Entertainment,1
madelyncline,Maddie,,,12400000,United States,1600000,2300000,,,,0
madhuridixitnene,Madhuri Dixit,Music,Cinema & Actors/actresses,30600000,India,297200,343100,Music,Entertainment,Music,1
madisonbaileybabe,Maddie Baby,Lifestyle,,6700000,United States,416400,779300,Lifestyle,,Lifestyle,1
madisonbeer,Madison Beer,Music,,30600000,United States,630200,940900,Music,,Music,1
mahnaz_afshar,Mahe Man,Cinema & Actors/actresses,Lifestyle,15700000,Iran,154300,212900,Entertainment,Lifestyle,Entertainment,1
maisa,#NAME?,Music,,42000000,Brazil,343700,468000,Music,,Music,1
maluma,MALUMA,Music,,61600000,Italy,329200,507600,Music,,Music,1
malutrevejo,Malú 🦋 222🎤,Music,,11200000,United States,277200,496800,Music,,Music,1
manchesterunited,Manchester United,Sports with a ball,,56500000,United Kingdom,116600,188800,Sports,,Sports,1
manelyk_oficial,Manelyk Gonzalez,Music,,14100000,Mexico,179500,240400,Music,,Music,1
maneskinofficial,Måneskin,Lifestyle,,6000000,Italy,519400,733500,Lifestyle,,Lifestyle,1
manurios,manu rios,Shows,,9900000,Mexico,572700,966000,Entertainment,,Entertainment,1
marcelotwelve,Marcelo Vieira,Sports with a ball,,53000000,Spain,413500,622200,Sports,,Sports,1
marcmarquez93,Marc Márquez,Racing Sports,,6600000,Indonesia,478200,634500,Sports,,Sports,1
marcoasensio10,Marco Asensio,Sports with a ball,,13600000,Spain,194300,298300,Sports,,Sports,1
marcusrashford,Marcus Rashford MBE,Sports with a ball,,12700000,United Kingdom,401900,635500,Sports,,Sports,1
mariaalice,Maria Alice,,,6800000,Brazil,673400,1400000,,,,0
mariabecerra,Maria Becerra,Music,,8600000,Argentina,332300,785000,Music,,Music,1
mariapedraza_,María Pedraza,Cinema & Actors/actresses,,12000000,Spain,279600,369000,Entertainment,,Entertainment,1
marimaria,Mari Maria,Beauty,,19900000,Brazil,126600,242700,Beauty/Fashion,,Beauty/Fashion,1
marinaruybarbosa,Marina Ruy Barbosa,Cinema & Actors/actresses,,39800000,Brazil,86600,130100,Entertainment,,Entertainment,1
markiplier,Markiplier,Shows,,9800000,United States,406500,463300,Entertainment,,Entertainment,1
markruffalo,Mark Ruffalo,Cinema & Actors/actresses,,20500000,Brazil,194300,244200,Entertainment,,Entertainment,1
marktuan,Mark Tuan,Music,Cinema & Actors/actresses,12100000,Thailand,667100,877200,Music,Entertainment,Music,1
marshmellomusic,marshmello,Music,,29200000,India,345600,406600,Music,,Music,1
martingarrix,Martin Garrix,Music,,15600000,Mexico,152800,216300,Music,,Music,1
marvel,Marvel Entertainment,Cinema & Actors/actresses,Comics & sketches,62700000,United States,180100,212500,Entertainment,Entertainment,Entertainment,1
marvelstudios,Marvel Studios,Cinema & Actors/actresses,Comics & sketches,36100000,India,225500,252600,Entertainment,Entertainment,Entertainment,1
mathildtantot,Mathilde,Lifestyle,Modeling,10300000,United States,310200,470000,Lifestyle,Beauty/Fashion,Lifestyle,1
matue30,MATUÊ,Lifestyle,,6100000,Brazil,186000,408100,Lifestyle,,Lifestyle,1
maudeapatow,Maude Apatow,Lifestyle,Cinema & Actors/actresses,4800000,United States,577000,955100,Lifestyle,Entertainment,Lifestyle,1
maudyayunda,Maudy Ayunda,Music,,15400000,Indonesia,110900,163500,Music,,Music,1
maxverstappen1,Max Verstappen,Racing Sports,,8200000,United States,398700,524400,Sports,,Sports,1
meganfox,Megan Fox,Cinema & Actors/actresses,,19900000,United States,2100000,3400000,Entertainment,,Entertainment,1
mehraadjam,Mehraad Jam,Music,,4700000,Iran,385000,564100,Music,,Music,1
mejiwoo103,지우,,,11100000,Indonesia,432400,521900,,,,0
melissamelmaia,MEL MAIA 🍯,Music,,11500000,Brazil,245100,444100,Music,,Music,1
melo,LaMelo Ball,Sports with a ball,,8300000,United States,298100,605600,Sports,,Sports,1
memezar,Memezar • Comedy and Culture,Cinema & Actors/actresses,,23700000,United States,325600,484700,Entertainment,,Entertainment,1
memphisdepay,Memphis Depay,Sports with a ball,,14200000,France,191600,339100,Sports,,Sports,1
mercedesbenz,Mercedes-Benz,Cars & Motorbikes,Luxury,35300000,Iran,75000,106800,,Beauty/Fashion,Beauty/Fashion,1
miakhalifa,Mia K.,Fitness & Gym,Lifestyle,27700000,India,1500000,2300000,Sports,Lifestyle,Sports,1
michaelbjordan,Michael B. Jordan,Cinema & Actors/actresses,,18400000,United States,452900,751000,Entertainment,,Entertainment,1
michaelclifford,michael clifford,Music,,5800000,United States,291900,427900,Music,,Music,1
michelleobama,Michelle Obama,Finance & Economics,Business & Careers,49100000,United States,132300,150200,Info/Business,Info/Business,Info/Business,1
miguel_bernardeau,Miguel Bernardeau,Cinema & Actors/actresses,,7000000,Spain,260800,384500,Entertainment,,Entertainment,1
miguel.g.herran,Miguel Herrán,Cinema & Actors/actresses,,14200000,Brazil,998200,1500000,Entertainment,,Entertainment,1
miketyson,Mike Tyson,Fitness & Gym,,18100000,United States,122800,157300,Sports,,Sports,1
mikhail_litvin,Михаил Литвин,Shows,,14600000,Russia,972000,1200000,Entertainment,,Entertainment,1
milad_khahhh,Milad Ghasemikhah pargam,Lifestyle,,5600000,Iran,365100,512700,Lifestyle,,Lifestyle,1
mileycyrus,Miley Cyrus,Music,,163800000,United States,439700,594900,Music,,Music,1
milliebobbybrown,Millie Bobby Brown,Cinema & Actors/actresses,,48200000,Brazil,2100000,2700000,Entertainment,,Entertainment,1
mimikeene3,𝕄 𝕀 𝕄 𝕀  𝕂 𝔼 𝔼 ℕ 𝔼,Cinema & Actors/actresses,,4300000,United Kingdom,765800,1400000,Entertainment,,Entertainment,1
min9yu_k,김민규,Music,,6000000,Indonesia,1100000,1300000,Music,,Music,1
mingue.k,김민규,Shows,,3300000,Indonesia,893500,1100000,Entertainment,,Entertainment,1
mirandacosgrove,Miranda Cosgrove,Music,Cinema & Actors/actresses,9800000,Brazil,213500,333600,Music,Entertainment,Music,1
mirella,BAD MI ⚡️ MC MIRELLA,Music,,26600000,Brazil,230400,486700,Music,,Music,1
missasinfonia,MissaSinfonia,,,4600000,Mexico,656800,752900,,,,0
mo.on_air,TAEIL,,,4400000,Indonesia,1200000,1400000,,,,0
mohamedramadanws,Mohamed Ramadan,Music,,20100000,Egypt,93900,129900,Music,,Music,1
mohanshakti,Shakti Mohan,Art/Artists,Cinema & Actors/actresses,14900000,India,207000,248000,Lifestyle,Entertainment,Lifestyle,1
mont.pantoja,MONT,,,11400000,Mexico,498700,593700,,,,0
mosalah,Mohamed Salah,Sports with a ball,,49000000,Egypt,1200000,1700000,Sports,,Sports,1
mr_faisu_07,FAISAL SHAIKH,Modeling,Cinema & Actors/actresses,26900000,India,362000,462100,Beauty/Fashion,Entertainment,Beauty/Fashion,1
mrbeast,MrBeast,Shows,Humor & Fun & Happiness,18000000,United States,1400000,1800000,Entertainment,Entertainment,Entertainment,1
ms_puiyi,Siew Pui Yi 🤍,Adult content,,17200000,United States,384000,491900,,,,0
mterstegen1,Marc ter Stegen,Sports with a ball,,13300000,Spain,280000,422000,Sports,,Sports,1
myketowers,MICHAEL,Music,,9400000,Spain,207900,376100,Music,,Music,1
na.jaemin0813,JAEMIN,,,8800000,Indonesia,1900000,2400000,,,,0
nabilla,Nabilla Vergara ✨,Beauty,,7200000,France,266800,367400,Beauty/Fashion,,Beauty/Fashion,1
nadin_serovski,Nadin Serovski,Family,Lifestyle,9400000,Russia,515700,710100,Lifestyle,Lifestyle,Lifestyle,1
nadine,小宮希美 🤍,Music,Shows,11100000,Philippines,319900,354600,Music,Entertainment,Music,1
naileadevora,nai,Shows,,5000000,United States,482400,712700,Entertainment,,Entertainment,1
nameisnani,Nani,Sports with a ball,,4800000,India,517800,559000,Sports,,Sports,1
nancyajram,Nancy Ajram,Music,,32400000,Iraq,140300,179500,Music,,Music,1
narendramodi,Narendra Modi,Finance & Economics,Business & Careers,66500000,India,1500000,1700000,Info/Business,Info/Business,Info/Business,1
narins_beauty,••Narins Beauty••,Lifestyle,,8400000,Syria,351600,429000,Lifestyle,,Lifestyle,1
nasa,NASA,Science,Photography,75300000,India,564500,653200,Info/Business,Lifestyle,Info/Business,1
natalee.007,Natalie Lee,Modeling,Music,6900000,United States,286600,366100,Beauty/Fashion,Music,Beauty/Fashion,1
natashawilona12,Natasha Wilona,Beauty,,37500000,Indonesia,233300,278600,Beauty/Fashion,,Beauty/Fashion,1
natgeo,National Geographic,Nature & landscapes,Science,214600000,United States,124700,145500,Lifestyle,Info/Business,Lifestyle,1
natgeotravel,National Geographic Travel,Nature & landscapes,Photography,45400000,United States,50600,56900,Lifestyle,Lifestyle,Lifestyle,1
nattinatasha,NATTI NATASHA,Music,Cinema & Actors/actresses,35400000,Mexico,281100,338300,Music,Entertainment,Music,1
navidmohammadzadeh,navid mohammadzadeh,Cinema & Actors/actresses,,8200000,Iran,541400,764000,Entertainment,,Entertainment,1
nazriyafahadh,Nazriya Nazim Fahadh,Lifestyle,,5500000,India,371800,497800,Lifestyle,,Lifestyle,1
nba,NBA,Sports with a ball,,65800000,United States,40600,68200,Sports,,Sports,1
ncentineo,Noah,Cinema & Actors/actresses,,17000000,Brazil,200300,333600,Entertainment,,Entertainment,1
nct,NCT Official Instagram,Music,,13600000,Indonesia,624900,819900,Music,,Music,1
nct_dream,NCT DREAM OFFICIAL,,,9200000,Indonesia,576300,642900,,,,0
nct127,NCT 127 Official Instagram,Music,,13700000,Indonesia,787200,972300,Music,,Music,1
nehakakkar,Neha Kakkar (Mrs. Singh),Music,,68500000,India,664800,774400,Music,,Music,1
nehasharmaofficial,Neha Sharma 💫,Cinema & Actors/actresses,,13900000,India,232800,267600,Entertainment,,Entertainment,1
neslihanatagul,Neslihan Atagül Doğulu,Cinema & Actors/actresses,Modeling,13000000,Turkey,670600,842600,Entertainment,Beauty/Fashion,Entertainment,1
nessabarrett,ness,,,6600000,United States,340200,461300,,,,0
netflix,Netflix US,Cinema & Actors/actresses,Shows,29500000,Brazil,65000,105900,Entertainment,Entertainment,Entertainment,1
netflixbrasil,Netflix Brasil,Shows,Cinema & Actors/actresses,29900000,Brazil,103700,177500,Entertainment,Entertainment,Entertainment,1
neymarjr,NJ 🇧🇷,Sports with a ball,,172000000,Brazil,1600000,2300000,Sports,,Sports,1
niallhoran,Niall Horan,Music,,29400000,United States,1200000,1800000,Music,,Music,1
nianaguerrero,Niana,Music,Kids & Toys,14000000,Indonesia,410600,514800,Music,Lifestyle,Music,1
nicki.nicole,,Music,,11500000,Argentina,876200,1300000,Music,,Music,1
nickiminaj,Barbie,Music,,181600000,United States,393700,615200,Music,,Music,1
nickjonas,Nick Jonas,Music,Art/Artists,32300000,United States,164000,233000,Music,Lifestyle,Music,1
nickyjam,NICKY JAM,Music,,42700000,Colombia,290900,347000,Music,,Music,1
nicolegarcia,NICOLE,Lifestyle,,5300000,Mexico,384900,503400,Lifestyle,,Lifestyle,1
nike,Nike,Fitness & Gym,Shopping & Retail,208900000,United States,129500,175500,Sports,Beauty/Fashion,Sports,1
nikefootball,Nike Football (Soccer),Sports with a ball,Clothing & Outfits,44300000,Brazil,74800,117400,Sports,Beauty/Fashion,Sports,1
nikitadragun,Nikita,Beauty,Modeling,9100000,United States,368000,562100,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
nikkietutorials,NikkieTutorials,Beauty,,15600000,United States,353800,480500,Beauty/Fashion,,Beauty/Fashion,1
nina,Nina Dobrev,Cinema & Actors/actresses,,25500000,Brazil,778500,1100000,Entertainment,,Entertainment,1
nita_shilimkar,Nita Shilimkar,Fashion,Modeling,10300000,India,351100,464900,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
noahbeck,Noah Beck,Sports with a ball,,9000000,United States,317300,523000,Sports,,Sports,1
noahschnapp,Noah Schnapp,Cinema & Actors/actresses,,20100000,Brazil,1300000,1700000,Entertainment,,Entertainment,1
nobru,Bruno Goes 🎭,,,13200000,,0,350200,,,,0
nobru,Bruno Goes 🎭,Machinery & Technologies,Computers & Gadgets,13200000,,0,350100,Tech/Gaming,Tech/Gaming,Tech/Gaming,1
nodal,Christian Nodal 🇲🇽 🌵💚,Music,,8400000,Mexico,252400,415500,Music,,Music,1
nolimitherbo,G HERBO,Music,Art/Artists,7400000,United States,156200,374700,Music,Lifestyle,Music,1
noorstars,نور ستارز | Noor Stars,Shows,,12600000,Iraq,149500,199600,Entertainment,,Entertainment,1
norafatehi,Nora Fatehi,Cinema & Actors/actresses,Music,38600000,India,865800,1100000,Entertainment,Music,Entertainment,1
normani,Normani,Lifestyle,,7000000,United States,313800,490900,Lifestyle,,Lifestyle,1
nusr_et,Nusr_et#Saltbae,Food & Cooking,,43500000,Turkey,192900,285400,Lifestyle,,Lifestyle,1
o.dembele7,Believe,Sports with a ball,,10300000,Spain,468600,804000,Sports,,Sports,1
obj,Odell Beckham Jr,Sports with a ball,,15800000,United States,339500,645800,Sports,,Sports,1
obx,Outer Banks,,,5400000,United States,587300,1100000,,,,0
officialslystallone,Sly Stallone,Art/Artists,Cinema & Actors/actresses,14800000,United States,162900,206300,Lifestyle,Entertainment,Lifestyle,1
offsetyrn,OFFSET,Music,,19700000,United States,313300,559800,Music,,Music,1
oliviarodrigo,Olivia Rodrigo,Music,Cinema & Actors/actresses,22900000,India,2800000,3500000,Music,Entertainment,Music,1
onwardwanna,"Javon ""Wanna"" Walton",Lifestyle,Cinema & Actors/actresses,5100000,United States,1000000,1700000,Lifestyle,Entertainment,Lifestyle,1
onyourm__ark,Mark,,,8300000,Indonesia,1700000,2100000,,,,0
oohsehun,SEHUN,Music,,22900000,Indonesia,1900000,2400000,Music,,Music,1
ozuna,@ozutochi 🔜 #TemporadaDelOzo,Music,,22200000,Spain,167100,225300,Music,,Music,1
pablogavi,GAVI,,,3300000,,0,841600,,,,0
paollaoliveirareal,Paolla Oliveira,Cinema & Actors/actresses,Lifestyle,33600000,Brazil,127600,167400,Entertainment,Lifestyle,Entertainment,1
parineetichopra,Parineeti Chopra,Cinema & Actors/actresses,,35200000,India,357500,412100,Entertainment,,Entertainment,1
paulodybala,Paulo Dybala,Sports with a ball,,45800000,Argentina,662900,1100000,Sports,,Sports,1
paulolondra,Paulo londra,Music,,12600000,Argentina,1200000,1900000,Music,,Music,1
paulpogba,Paul Labile Pogba,Sports with a ball,,52800000,Brazil,353400,628500,Sports,,Sports,1
paulwalker,Paul Walker,Cinema & Actors/actresses,,14600000,India,217200,297800,Entertainment,,Entertainment,1
paulwesley,Paul Wesley,Cinema & Actors/actresses,,12200000,Brazil,640000,958000,Entertainment,,Entertainment,1
pefabiodemelo,Padre Fábio de Melo,Lifestyle,,25500000,Brazil,81600,122900,Lifestyle,,Lifestyle,1
perrieedwards,Perrie Edwards 🖤,Modeling,,14500000,Brazil,523100,816700,Beauty/Fashion,,Beauty/Fashion,1
perspolis,P e r s e p o l i s,Sports with a ball,,7600000,Iran,276500,393200,Sports,,Sports,1
pewdiepie,PewDiePie,Computers & Gadgets,,21900000,United States,1200000,1400000,Tech/Gaming,,Tech/Gaming,1
peytonlist,Peyton List,Cinema & Actors/actresses,,19700000,United States,360000,541500,Entertainment,,Entertainment,1
pharrell,𝐒𝐎𝐍 𝐎𝐅 𝐀 𝐏𝐇𝐀𝐑𝐀𝐎𝐇,Music,,13500000,United States,126400,181100,Music,,Music,1
phil.coutinho,Philippe Coutinho,Sports with a ball,,24500000,Brazil,456200,740900,Sports,,Sports,1
phoebejtonkin,Phoebe Tonkin,Beauty,Cinema & Actors/actresses,8200000,United States,236800,338600,Beauty/Fashion,Entertainment,Beauty/Fashion,1
phs1116,박형식 / PARKHYUNGSIK,Business & Careers,,9500000,Indonesia,2000000,2600000,Info/Business,,Info/Business,1
playboicarti,,Music,,8000000,United States,1200000,2100000,Music,,Music,1
playstation,PlayStation,Computers & Gadgets,Machinery & Technologies,28900000,United States,80500,99300,Tech/Gaming,Tech/Gaming,Tech/Gaming,1
pokimanelol,pokimane ❤,Lifestyle,Shows,6000000,United States,526700,694800,Lifestyle,Entertainment,Lifestyle,1
pokrov90,АНЯ ПОКРОВ - АНТИГРУСТИН🥑❤️,Shows,,7300000,Russia,350300,408100,Entertainment,,Entertainment,1
polo.capalot,Polo.G🐐,Music,Lifestyle,10200000,United States,416900,685700,Music,Lifestyle,Music,1
pooorblack,Pooorblack,,,4000000,Iran,530000,687400,,,,0
porsche,Porsche,Cars & Motorbikes,,26400000,United States,97100,124400,,,,0
postmalone,twelve carat toothache,Music,,22300000,United States,407300,623100,Music,,Music,1
prattprattpratt,Chris Pratt,Cinema & Actors/actresses,,35500000,United States,193000,250900,Entertainment,,Entertainment,1
premierleague,Premier League,Sports with a ball,,55400000,United Kingdom,49500,69500,Sports,,Sports,1
prideofgypsies,Jason Momoa,Cinema & Actors/actresses,,16800000,United States,141000,181300,Entertainment,,Entertainment,1
prillylatuconsina96,Prilly Latuconsina,Cinema & Actors/actresses,Music,46600000,Indonesia,56400,81600,Entertainment,Music,Entertainment,1
priyankachopra,Priyanka,Cinema & Actors/actresses,,75700000,India,643000,778200,Entertainment,,Entertainment,1
psg,Paris Saint-Germain,Sports with a ball,,58000000,Brazil,295800,495000,Sports,,Sports,1
pubity,Pubity,Humor & Fun & Happiness,,31600000,United States,214500,313300,Entertainment,,Entertainment,1
pugachevmark,Mark Pugachev,Cars & Motorbikes,Luxury,10000000,Russia,358100,525900,,Beauty/Fashion,Beauty/Fashion,1
quackity,quackity,,,3200000,United States,666400,819100,,,,0
quavohuncho,QuavoHuncho,Music,,20800000,United States,103000,170100,Music,,Music,1
raashiikhanna,Raashii Khanna,Cinema & Actors/actresses,Music,8100000,India,256600,305900,Entertainment,Music,Entertainment,1
rachel_mypark,박민영 Minyoung Park,Cinema & Actors/actresses,,9700000,Indonesia,784600,977100,Entertainment,,Entertainment,1
rachelvennya,Rachel Vennya Roland,Kids & Toys,Family,6700000,Indonesia,176400,372500,Lifestyle,Lifestyle,Lifestyle,1
rafaelnadal,Rafa Nadal,Sports with a ball,,14000000,Spain,228700,286300,Sports,,Sports,1
rafaeluccman,Rafael Uccman,Lifestyle,Modeling,8600000,Brazil,227100,472900,Lifestyle,Beauty/Fashion,Lifestyle,1
rafakalimann,RAFA KALIMANN,Modeling,,22800000,Brazil,90900,163300,Beauty/Fashion,,Beauty/Fashion,1
raffinagita1717,Raffi Ahmad and Nagita Slavina,Shows,,60600000,Indonesia,37400,52500,Entertainment,,Entertainment,1
rahulkl,KL Rahul👑,Sports with a ball,,11900000,India,676900,788500,Sports,,Sports,1
raisa6690,,Music,,30400000,Indonesia,60600,94000,Music,,Music,1
rakulpreet,Rakul Singh,Cinema & Actors/actresses,Modeling,19200000,India,334100,392500,Entertainment,Beauty/Fashion,Entertainment,1
ranveersingh,Ranveer Singh,Cinema & Actors/actresses,Modeling,38900000,India,314700,408400,Entertainment,Beauty/Fashion,Entertainment,1
raphaelvarane,Raphael Varane,Sports with a ball,,18400000,Spain,200800,301400,Sports,,Sports,1
rashmika_mandanna,Rashmika Mandanna,Beauty,Art/Artists,30000000,India,1700000,2000000,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
ratantata,Ratan Tata,Business & Careers,,5900000,India,952200,1100000,Info/Business,,Info/Business,1
rauwalejandro,RA’ RAUW,Music,,13700000,Spain,382400,553000,Music,,Music,1
realbarbarapalvin,Barbara Palvin,Modeling,Fashion,17500000,Russia,480200,649000,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
realhinakhan,HK,Cinema & Actors/actresses,,16700000,India,189500,233600,Entertainment,,Entertainment,1
realmadrid,Real Madrid C.F.,Sports with a ball,,113000000,Spain,407200,563100,Sports,,Sports,1
realshadmehr,Shadmehr Aghili,Music,,7600000,Iran,330200,460800,Music,,Music,1
realstraykids,Stray Kids,Music,,20100000,Indonesia,1700000,2000000,Music,,Music,1
