rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2,unified_cat_1,unified_cat_2
565,nita_shilimkar,Nita Shilimkar,11500000,India,301800,398600,Lifestyle,Fashion,Lifestyle,Beauty/Fashion
566,gessicakayane,GKAY,20000000,Brazil,111700,231200,Shows,Humor & Fun & Happiness,Entertainment,Entertainment
567,nessabarrett,ness,7300000,United States,470700,637900,Lifestyle,,Lifestyle,
568,liverpoolfc,Liverpool Football Club,40300000,United Kingdom,81000,113100,Sports with a ball,,Sports,
569,dew_jsu,2000,6300000,Indonesia,544500,732300,Beauty,Lifestyle,Beauty/Fashion,Lifestyle
570,itsmarziapie,Marzia Kjellberg,8300000,United States,450100,549900,Beauty,Lifestyle,Beauty/Fashion,Lifestyle
571,lizakoshy,Liza Koshy,20200000,United States,167000,222400,Cinema & Actors/actresses,,Entertainment,
572,hztttao,Z.TAO🔴黄子韬,11300000,Indonesia,357900,398300,,,,
573,pozevidalouca,Poze Do Rodo 🤑,8200000,Brazil,223100,560800,Lifestyle,,Lifestyle,
574,icc,ICC,24100000,India,153900,184600,Sports with a ball,,Sports,
575,sushitrash,JOJI,6500000,United States,570600,698100,,,,
576,hugogloss,Hugo Gloss,20300000,Brazil,110900,218700,Literature & Journalism,Humor & Fun & Happiness,Info/Business,Entertainment
577,donya,Donya,15300000,Iran,194200,308600,Lifestyle,,Lifestyle,
578,lilyrose_depp,Lily-Rose Depp,6700000,United States,421700,662800,Modeling,,Beauty/Fashion,
579,sportscenter,SportsCenter,31800000,United States,76600,137300,Sports with a ball,Shows,Sports,Entertainment
580,leejen_o_423,LEE JENO,2200000,,0,2300000,,,,
581,asabopp,Asa Butterfield,5700000,Brazil,521700,762700,Cinema & Actors/actresses,,Entertainment,
582,naileadevora,nai,5300000,United States,560600,828500,Lifestyle,,Lifestyle,
583,actorprabhas,Prabhas,8800000,India,443300,496300,Shows,Cinema & Actors/actresses,Entertainment,Entertainment
584,amitabhbachchan,Amitabh Bachchan,31100000,India,119600,138300,Cinema & Actors/actresses,,Entertainment,
585,missasinfonia,MissaSinfonia,5800000,Mexico,667400,747700,Cinema & Actors/actresses,,Entertainment,
586,sandrinna_11,Drinna 🖤,10700000,Indonesia,311100,396800,Lifestyle,,Lifestyle,
587,theellenshow,Ellen DeGeneres,125100000,United States,28400,34200,Shows,Cinema & Actors/actresses,Entertainment,Entertainment
588,jeonghaniyoo_n,윤정한,3600000,Iran,935400,1200000,Lifestyle,,Lifestyle,
589,memphisdepay,Memphis Depay,15400000,France,155700,277200,Sports with a ball,,Sports,
590,aishwaryaraibachchan_arb,AishwaryaRaiBachchan,10400000,India,318200,406600,Cinema & Actors/actresses,,Entertainment,
591,otabek_muhammadalievich,Otabek Umarov,20000000,Russia,157400,211900,,,,
592,pedri,Pedri González,7100000,Spain,0,598500,Sports with a ball,,Sports,
593,reesewitherspoon,Reese Witherspoon,28300000,United States,124400,149200,Cinema & Actors/actresses,,Entertainment,
594,marcusrashford,Marcus Rashford MBE,12800000,United Kingdom,206600,326900,Sports with a ball,,Sports,
595,matue,,8100000,Brazil,288800,530600,Lifestyle,Sports with a ball,Lifestyle,Sports
596,alexadellanos,Alexa Dellanos,9800000,United States,276500,432600,Lifestyle,,Lifestyle,
597,faz3,Fazza,14700000,United Arab Emirates,221100,289900,Lifestyle,,Lifestyle,
598,ronaldo,Ronaldo,23500000,Brazil,103400,178300,Sports with a ball,,Sports,
599,araikgalstyanmoscowschool,ＡＲＡＩＫ  ＧＡＬＳＴＹＡＮ®️,16300000,Turkey,197600,255700,Beauty,,Beauty/Fashion,
600,l7nnon,L7,8800000,Brazil,200900,477200,Lifestyle,,Lifestyle,
601,l7nnon,L7,8800000,Brazil,200900,477200,Lifestyle,,Lifestyle,
602,avrillavigne,Avril Lavigne,11700000,Brazil,284500,354200,Cinema & Actors/actresses,Fashion,Entertainment,Beauty/Fashion
603,karelyruiz,Karely Ruiz,7000000,Mexico,472400,593000,Lifestyle,,Lifestyle,
604,rizkybillar,Muhammad Rizky Billar,12900000,Indonesia,248500,321000,Shows,Beauty,Entertainment,Beauty/Fashion
605,victoriajustice,Victoria Justice,22900000,United States,131100,179400,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion
606,vousmevoyez,KRYSTAL,10400000,Indonesia,304700,395200,Cinema & Actors/actresses,,Entertainment,
607,zoeisabellakravitz,Zoë Kravitz,8400000,United States,323300,490400,Cinema & Actors/actresses,,Entertainment,
608,egupta,Esha Gupta,11600000,India,280600,351300,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
609,catherinemcbroom,Catherine Paiz,7300000,United States,329500,565900,Family,,Lifestyle,
610,malutrevejo,Malú 🦋 222🎤,11500000,United States,197200,353800,,,,
611,elmarianaa,El Mariana,4500000,Mexico,809500,919400,,,,
612,avengers,Avengers,13600000,India,238800,299100,Cinema & Actors/actresses,,Entertainment,
613,skaijackson,S K A I,8000000,United States,290500,512700,Lifestyle,,Lifestyle,
614,iam_linyi,我是林一同学,4000000,Indonesia,781000,1000000,,,,
615,yihyun_1208,조이현 cho yihyun,5200000,South Korea,618900,783400,Lifestyle,,Lifestyle,
616,nickjonas,Nick Jonas,33100000,United States,86100,122500,,,,
617,everyone_woo,Wonwoo,3400000,Indonesia,935500,1200000,,,,
618,aleoliveiracm,Alê Oliveira,8500000,Brazil,198000,507900,Humor & Fun & Happiness,,Entertainment,
619,nikkietutorials,NikkieTutorials,16500000,United States,178000,242200,Beauty,,Beauty/Fashion,
620,centralcee,📲,4400000,United Kingdom,373400,914700,Lifestyle,,Lifestyle,
621,andreavaldirisos,ANDREA VALDIRI 🇨🇴,8700000,Colombia,326900,465000,Lifestyle,Beauty,Lifestyle,Beauty/Fashion
622,pledis_boos,승관 SEUNGKWAN,4500000,Indonesia,732300,888400,,,,
623,jenna_chew,JENNA 周甄娜,7900000,United States,414700,506200,Fitness & Gym,,Sports,
624,simaria,Simaria Mendes,28300000,Brazil,96500,140400,,,,
625,romanreigns,Joe Anoai aka “Roman Reigns”,6600000,India,471800,612400,Lifestyle,,Lifestyle,
626,netflixbrasil,Netflix Brasil,32600000,Brazil,70700,120800,Shows,Cinema & Actors/actresses,Entertainment,Entertainment
627,piawurtzbach,Pia Wurtzbach,13800000,Philippines,234500,282800,Beauty,Modeling,Beauty/Fashion,Beauty/Fashion
628,soueunavida,Sou Eu Na Vida,18100000,Brazil,114500,218500,Humor & Fun & Happiness,,Entertainment,
629,kenzie,kenzie ♡,14800000,United States,171200,260500,,,,
630,ozgecangurelofficial,Özge Gürel,5800000,Turkey,553200,679900,Cinema & Actors/actresses,,Entertainment,
631,adinross,,3600000,United States,607600,1200000,,,,
632,realcoleworld,Cole World,7700000,United States,266400,506400,,,,
633,mancity,Manchester City,34300000,United Kingdom,83000,112100,Sports with a ball,,Sports,
634,perspolis,Persepolis,8300000,Iran,335200,476400,Sports with a ball,,Sports,
635,lacasadepapel,La Casa de Papel,12600000,Brazil,202500,304400,Cinema & Actors/actresses,Shows,Entertainment,Entertainment
636,cvillaloboss,CARMEN VILLALOBOS,20500000,Colombia,151400,186700,Shows,Cinema & Actors/actresses,Entertainment,Entertainment
637,jeromepolin,Jerome Polin Sijabat ジェローム,7000000,Indonesia,379000,555500,Education,Humor & Fun & Happiness,Info/Business,Entertainment
638,sarahhyland,Sarah Hyland,9900000,United States,310100,387700,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle
639,dejesusoficial,Gabriel Jesus,18400000,Brazil,132400,205000,Sports with a ball,,Sports,
640,aliandooo,Aliando Syarief,17100000,Indonesia,144100,229900,Cinema & Actors/actresses,,Entertainment,
641,aslisona,Sonakshi Sinha,23300000,India,134400,162600,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle
642,playstation,PlayStation,28900000,United States,107300,131400,Computers & Gadgets,,Tech/Gaming,
643,drewstarkey,Drew Starkey,3100000,United States,622400,1200000,Cinema & Actors/actresses,,Entertainment,
644,youngdae0302,김영대,4500000,Indonesia,636200,839800,,,,
645,sanchooo10,Jadon Sancho,8900000,United Kingdom,244600,427700,Sports with a ball,,Sports,
646,lamborghini,Lamborghini,32200000,India,83800,115600,Luxury,Cars & Motorbikes,Beauty/Fashion,Lifestyle
647,geewonii,김지원,7700000,Indonesia,369800,486800,,,,
648,taylor_hill,Taylor Hill,20500000,United States,121000,180500,Fashion,Modeling,Beauty/Fashion,Beauty/Fashion
649,sooyoungchoi,Sooyoung Choi,7400000,Indonesia,421300,508500,Beauty,Lifestyle,Beauty/Fashion,Lifestyle
650,natashawilona12,Natasha Wilona,39400000,Indonesia,78500,93700,Beauty,,Beauty/Fashion,
651,chrissyteigen,chrissy teigen,39100000,United States,72000,94000,Shows,Modeling,Entertainment,Beauty/Fashion
652,francinyehlke,Franciny Ehlke,15600000,Brazil,107900,235900,Beauty,,Beauty/Fashion,
653,dacremontgomery,Dacre Montgomery,8800000,United States,314200,419900,Cinema & Actors/actresses,,Entertainment,
654,lizzobeeating,Lizzo,12900000,United States,204100,286000,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
655,dylanminnette,Dylan Minnette,7300000,United States,312100,507400,Cinema & Actors/actresses,,Entertainment,
656,nita_shilimkar,Nita Shilimkar,11500000,India,240500,318000,Lifestyle,Fashion,Lifestyle,Beauty/Fashion
657,phoebejtonkin,Phoebe Tonkin,8400000,United States,309400,441600,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
658,39saku_chan,Sakura Miyawaki,4300000,Indonesia,708000,873100,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
659,rogerfederer,Roger Federer,9800000,Spain,294300,380800,Sports with a ball,,Sports,
660,geneliad,Genelia Deshmukh,10400000,India,282600,350000,Cinema & Actors/actresses,,Entertainment,
661,dbook,Devin,5400000,United States,349400,687000,Lifestyle,Sports with a ball,Lifestyle,Sports
662,theslumpgod,Stokeley,5400000,United States,398500,693500,,,,
663,paulwalker,Paul Walker,15100000,India,175900,241100,Cinema & Actors/actresses,,Entertainment,
664,iampauloandre,Paulo André 🏁,9900000,Brazil,135400,381200,Photography,Lifestyle,Lifestyle,Lifestyle
665,parishilton,Paris Hilton,20200000,United States,109300,180600,Modeling,,Beauty/Fashion,
666,maudyayunda,Maudy Ayunda,17200000,Indonesia,143200,211100,,,,
667,blonded,Frank,3700000,United States,529900,990100,,,,
668,djsnake,djsnake,9700000,India,318500,378200,,,,
669,achrafhakimi,Achraf Hakimi,10100000,Morocco,244300,359000,Sports with a ball,,Sports,
670,bleacherreport,Bleacher Report,19600000,United States,94300,186100,Sports with a ball,,Sports,
671,offsetyrn,OFFSET,19900000,United States,102600,183900,,,,
672,narins_beauty,••Narins Beauty••,9300000,Syria,329800,405200,Lifestyle,,Lifestyle,
673,kyrieirving,Hélà,17200000,United States,140200,212100,Sports with a ball,,Sports,
674,myketowers,MICHAEL,9500000,Spain,216000,389600,,,,
675,burcuozberk,Burcu Özberk,9300000,Turkey,305400,395500,Cinema & Actors/actresses,,Entertainment,
676,chrismcg,Christopher McGinnis,11100000,United States,147200,324000,,,,
677,indiancricketteam,Team India,25600000,India,119900,139900,Sports with a ball,,Sports,
678,oprah,Oprah,21500000,United States,143700,169800,Cinema & Actors/actresses,Shows,Entertainment,Entertainment
679,machinegunkelly,the Blonde Don,9700000,United States,233400,375200,,,,
680,elliotpage,,6200000,United States,405100,583100,Cinema & Actors/actresses,,Entertainment,
681,raashiikhanna,Raashii Khanna,8600000,India,350600,417900,Cinema & Actors/actresses,,Entertainment,
682,beautifuldestinations,BEAUTIFUL DESTINATIONS,24700000,United States,107600,144300,Photography,Travel,Lifestyle,Lifestyle
683,madisonbaileybabe,Maddie Baby,6700000,United States,288900,541000,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
684,rishabpant,Rishabh Pant,6900000,India,439700,522300,Lifestyle,Sports with a ball,Lifestyle,Sports
685,ho5hi_kwon,HOSHI,3600000,Indonesia,765200,995200,Lifestyle,,Lifestyle,
686,bigsean,BIGSEAN,15400000,United States,125400,228800,,,,
687,brfootball,Bleacher Report Football,12600000,United States,172100,278100,Sports with a ball,,Sports,
688,kingryan,Ryan Garcia,9000000,United States,261400,394800,Fitness & Gym,,Sports,
689,andresiniesta8,Andres Iniesta,40200000,Spain,60000,87000,Sports with a ball,,Sports,
690,alvxaro,ALVARO,9900000,Brazil,144600,362400,Lifestyle,,Lifestyle,
691,willevy,William  Levy / Actor Producer,10900000,Brazil,242100,326100,Shows,Cinema & Actors/actresses,Entertainment,Entertainment
692,pokimanelol,pokimane 🤍,6200000,United States,436700,575300,Lifestyle,Shows,Lifestyle,Entertainment
693,jamorant,12 🥷🏽🖤,7700000,United States,284600,459900,Winter sports,Sports with a ball,Sports,Sports
694,amadorat,N I C O L E   A M A D O 🐉,8300000,Mexico,378800,423300,Fashion,Lifestyle,Beauty/Fashion,Lifestyle
695,smriti_mandhana,Smriti Mandhana,6500000,India,472100,547000,Sports with a ball,,Sports,
696,marinaruybarbosa,Marina Ruy Barbosa,40900000,Brazil,56300,85900,Cinema & Actors/actresses,,Entertainment,
697,alishalehmann7,Alisha Lehmann,8200000,Brazil,227800,430100,Sports with a ball,,Sports,
698,bhadbhabie,Bhabie,16400000,United States,112400,210900,,,,
699,dear.zia,𝑓𝑟𝑒𝑒𝑧𝑖𝑎 .🌼,3700000,South Korea,839700,944500,,,,
700,haifawehbe,Haifa Wehbe,10500000,Iraq,226600,331800,,,,
701,dkharbour,David Harbour,9700000,United States,274500,359700,Cinema & Actors/actresses,,Entertainment,
702,eilirjani,Elton ILIRJANI,10400000,Albania,229100,330800,Adult content,,Entertainment,
703,agnezmo,AGNEZ MO,29000000,Indonesia,71300,118400,,,,
704,staceysolomon,Stacey Solomon,5400000,United Kingdom,536200,645900,Family,,Lifestyle,
705,supercarblondie,Alex - that girl with the Cars,10800000,India,200100,317100,Cars & Motorbikes,,Lifestyle,
706,arishfakhan138,Sayyed Arishfa Khan 💎,29400000,India,96600,117300,Cinema & Actors/actresses,,Entertainment,
707,sebastianyatra,Sebastian Yatra,29800000,Argentina,82300,114900,,,,
708,yg_treasure_official,TREASURE (트레저),5600000,Indonesia,483400,618500,,,,
709,karljacobs,Karl Jacobs,4300000,United States,618400,805400,,,,
710,rezagolzar,Mohammad Reza Golzar,12300000,Iran,197200,288000,Cinema & Actors/actresses,,Entertainment,
711,saharghoreyshiofficialpage,سحر قريشى Sahar Ghoreyshi,11500000,Iran,203900,297900,,,,
712,f1,FORMULA 1®,20700000,Italy,129300,163500,Racing Sports,,Sports,
713,wos.ds3,Valentín Oliva,6600000,Argentina,341400,522400,,,,
714,dk_is_dokyeom,도겸,3500000,Iran,825400,994200,Lifestyle,,Lifestyle,
715,sonambajwa,Sonam Bajwa,8200000,India,330200,422000,Cinema & Actors/actresses,,Entertainment,
716,demirose,Demi 🌹,19900000,United States,130700,170400,Modeling,Lifestyle,Beauty/Fashion,Lifestyle
717,21savage,,13600000,United States,140200,246400,,,,
718,apple,apple,28100000,India,88200,118800,Computers & Gadgets,Photography,Tech/Gaming,Lifestyle
719,jxxvvxxk,이재욱,3900000,Indonesia,694300,872800,,,,
720,umutisler,Umut İşler,11000000,India,188000,302200,Food & Cooking,,Lifestyle,
721,grantgust,Grant Gustin,7800000,Brazil,305400,432700,Cinema & Actors/actresses,Fashion,Entertainment,Beauty/Fashion
722,huddy,Chase Hudson,11600000,United States,206800,285000,Lifestyle,,Lifestyle,
723,vernonline,Vernon 버논,4600000,Japan,543600,719100,,,,
724,hichasestokes,,7400000,United States,301700,452000,Humor & Fun & Happiness,Lifestyle,Entertainment,Lifestyle
725,netflix,Netflix US,31200000,Brazil,64100,105200,Cinema & Actors/actresses,Shows,Entertainment,Entertainment
726,kittychicha,🖤KITTY CHICHA🐱,4300000,Philippines,635900,771100,,,,
727,ederbez,Eugenio Derbez,18600000,Mexico,156300,175600,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle
728,amybethmcnulty,Amybeth,7800000,Brazil,307900,423000,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
729,viihtube,Viih Tube,23600000,Brazil,73200,138200,Cinema & Actors/actresses,,Entertainment,
730,juki_lop,JukiLop,9400000,Mexico,300000,349100,Shows,Family,Entertainment,Lifestyle
731,espn,ESPN,23700000,United States,75400,137000,Sports with a ball,,Sports,
732,simonettalein,Simonetta Lein,12400000,India,188800,260100,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
733,yasminabdelaziz_,Yasmin Abdelaziz,16200000,Egypt,169800,200900,Cinema & Actors/actresses,,Entertainment,
734,miamalkova,Mia Malkova,11100000,India,215300,291600,Cinema & Actors/actresses,,Entertainment,
735,adrianalima,Adriana Lima,14900000,United States,146400,215400,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion
736,shivangijoshi18,शिवांगी जोशी,7400000,India,365100,439500,Lifestyle,,Lifestyle,
737,davidluiz23,David Luiz,22200000,Brazil,65800,144600,Sports with a ball,,Sports,
738,saipallavi.senthamarai,Sai Pallavi,6100000,India,462700,530800,Cinema & Actors/actresses,,Entertainment,
739,sonamkapoor,Sonam Kapoor Ahuja,33500000,India,80600,95300,Fashion,Modeling,Beauty/Fashion,Beauty/Fashion
740,adamsandler,Adam Sandler,13600000,United States,184700,235500,Cinema & Actors/actresses,,Entertainment,
741,noorstars,نور ستارز | Noor Stars,13300000,Iraq,180700,242100,Shows,,Entertainment,
742,jennifer.garner,Jennifer Garner,13600000,United States,206400,233800,Cinema & Actors/actresses,,Entertainment,
743,troyesivan,troye sivan,13400000,United States,164100,235700,Fashion,Modeling,Beauty/Fashion,Beauty/Fashion
744,jaybnow.hr,LIM JAE BEOM,6900000,United States,353600,464000,,,,
745,litkillah,MAWZ💬,8100000,Argentina,298200,393000,,,,
746,schwarzenegger,Arnold Schwarzenegger,22600000,United States,118900,139800,Cinema & Actors/actresses,Fitness & Gym,Entertainment,Sports
747,wayvofficial,WayV,7500000,Indonesia,358900,427400,,,,
748,giannis_an34,Giannis Ugo Antetokounmpo,13300000,United States,147900,233900,Sports with a ball,,Sports,
749,dagelan,Dagelan,21000000,Indonesia,89000,151000,Humor & Fun & Happiness,,Entertainment,
750,_abu_saalim_,ABU SAALIM,3000000,India,446500,1100000,Photography,Cinema & Actors/actresses,Lifestyle,Entertainment
751,pooorblack,Pooorblack,4900000,Iran,503500,652100,,,,
752,trentarnold66,Trent Alexander-Arnold,7800000,United Kingdom,275400,403300,Lifestyle,Sports with a ball,Lifestyle,Sports
753,earthpix,🌎  EarthPix  🌎,23200000,United States,102800,133300,Nature & landscapes,Photography,Lifestyle,Lifestyle
754,maneskinofficial,Måneskin,6200000,Italy,356300,502800,Modeling,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
755,nodal,Christian Nodal 🇲🇽 🌵💚,9400000,Mexico,229100,336800,,,,
756,ivan_buhaje,spreen,3100000,Argentina,825800,1000000,,,,
757,joshuadun,jøsh dun,6200000,United States,415700,507800,,,,
758,juliopfernandez,J U L I O   P E Ñ A   F. D E Z,3400000,Brazil,714900,909300,,,,
759,sonu_sood,Sonu Sood,17400000,India,154700,177000,Cinema & Actors/actresses,,Entertainment,
760,voguemagazine,Vogue,40300000,United States,50500,76100,Literature & Journalism,Fashion,Info/Business,Beauty/Fashion
761,valentinazenere,Valentina Zenere,10100000,Brazil,248400,302500,Modeling,Lifestyle,Beauty/Fashion,Lifestyle
762,shikhardofficial,Shikhar Dhawan,11400000,India,234500,268300,Sports with a ball,,Sports,
763,nancyajram,Nancy Ajram,33300000,Iraq,72500,92700,,,,
764,mclomaofficial,Paloma Santos 🐟,8300000,Brazil,218900,375200,,,,
765,rodwave,RodWave,5600000,United States,254600,566100,,,,
766,yamigautam,Yami Gautam Dhar,16400000,India,160200,186000,Cinema & Actors/actresses,,Entertainment,
767,madonna,Madonna,18500000,Italy,112600,168100,,,,
768,fcbayern,FC Bayern,34000000,Germany,61100,89600,Sports with a ball,,Sports,
769,lacikaysomers,Laci Kay Somers,12200000,United States,148500,254100,Modeling,,Beauty/Fashion,
770,sincerooficial,Sincero Oficial,21700000,Brazil,72400,140000,Humor & Fun & Happiness,,Entertainment,
771,ewsbdi,로운,4700000,Indonesia,439600,657100,,,,
772,nikefootball,Nike Football (Soccer),45400000,Brazil,42800,66100,Sports with a ball,Clothing & Outfits,Sports,Beauty/Fashion
773,candiceking,Candice King,10000000,Brazil,214100,298400,Family,Lifestyle,Lifestyle,Lifestyle
774,beberexha,Bebe Rexha,10700000,India,189300,279900,Lifestyle,,Lifestyle,
775,rockstargames,Rockstar Games,23300000,United States,104500,129600,Cars & Motorbikes,,Lifestyle,
776,onwardwanna,"Javon ""Wanna"" Walton",6000000,United States,301800,503800,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
777,diljitdosanjh,DILJIT DOSANJH,14000000,India,176800,213000,Cinema & Actors/actresses,,Entertainment,
778,emmaroberts,Emma Roberts,18300000,United States,110000,162400,Cinema & Actors/actresses,,Entertainment,
779,filiperet,Retchê,7700000,Brazil,153900,392800,Lifestyle,Photography,Lifestyle,Lifestyle
780,vanessalopesr_,Vanessa Lopes,12300000,Brazil,73700,240200,Lifestyle,,Lifestyle,
781,harshasai_,Harsha sai,2700000,India,958900,1100000,Shows,,Entertainment,
782,ahmedabohashima,Ahmed Abouhashima,17300000,Egypt,125900,170000,Business & Careers,Finance & Economics,Info/Business,Info/Business
783,ncentineo,Noah,16500000,Brazil,106800,177600,Cinema & Actors/actresses,,Entertainment,
784,galatasaray,Galatasaray,11600000,Turkey,209400,253500,Sports with a ball,,Sports,
785,yefersoncossio,Yef,9800000,Colombia,208900,305300,Lifestyle,,Lifestyle,
786,arsenal,Arsenal,22800000,United Kingdom,85300,129100,Sports with a ball,,Sports,
787,borodylia,Ксения Бородина,19100000,Russia,124000,152900,Shows,Family,Entertainment,Lifestyle
788,willyrex,Willyrex,8800000,Spain,284400,337200,Shows,,Entertainment,
789,snoopdogg,snoopdogg,76000000,United States,27300,38900,Lifestyle,,Lifestyle,
790,djokernole,Novak Djokovic,11300000,Serbia,209800,258400,Sports with a ball,,Sports,
791,ishowspeed,IShowSpeed,3700000,United Kingdom,575100,813800,Lifestyle,,Lifestyle,
792,jackblack,Jack Black,8900000,United States,251800,328800,Cinema & Actors/actresses,,Entertainment,
793,normani,Normani,7300000,United States,256800,401300,,,,
794,courteneycoxofficial,Courteney Cox,12200000,India,178900,236700,Cinema & Actors/actresses,,Entertainment,
795,shxxbi131,B.I,4000000,Indonesia,620400,726600,Lifestyle,,Lifestyle,
796,jaspritb1,jasprit bumrah,9800000,India,256600,294800,Lifestyle,Sports with a ball,Lifestyle,Sports
797,marimaria,Mari Maria,20200000,Brazil,74200,142900,Beauty,,Beauty/Fashion,
798,t22felton,Tom Felton,11900000,United States,186800,242000,Cinema & Actors/actresses,,Entertainment,
799,jenniferwinget1,Jennifer Winget,13500000,India,175300,213200,Cinema & Actors/actresses,,Entertainment,
800,spacex,SpaceX,15800000,United States,148700,180900,Science,Machinery & Technologies,Tech/Gaming,Tech/Gaming
801,virgilvandijk,Virgil van Dijk,12600000,United Kingdom,159800,226400,Sports with a ball,,Sports,
802,i_nivethathomas,Nivetha Thomas,6100000,India,412000,466000,Cinema & Actors/actresses,,Entertainment,
803,chaelincl,CL,10300000,Brazil,206300,272900,Fashion,Modeling,Beauty/Fashion,Beauty/Fashion
804,subo_m,Subhan Mamedov,10100000,Russia,229500,281000,Shows,,Entertainment,
805,klarafgcastanho,Klåra Cåstanho,7400000,Brazil,198700,385500,Cinema & Actors/actresses,,Entertainment,
806,miketyson,Mike Tyson,19200000,United States,114000,146900,Fitness & Gym,,Sports,
807,streetartglobe,StreetArtGlobe ™ 😱,16600000,United States,124400,168900,,,,
808,nabilla,Nabilla Vergara ✨,8000000,France,258300,355400,Beauty,,Beauty/Fashion,
809,hadise,Hadise,13800000,Turkey,173600,202400,Shows,,Entertainment,
810,davidalaba,David Alaba,10600000,Spain,185300,262200,Sports with a ball,,Sports,
811,paollaoliveirareal,Paolla Oliveira,34800000,Brazil,60700,80300,Cinema & Actors/actresses,Lifestyle,Entertainment,Lifestyle
812,kawtarbamo,KAWTAR BA-MOHAMED كوثر بامو,7500000,Morocco,276000,373900,Cinema & Actors/actresses,,Entertainment,
813,kaliuchis,,4000000,United States,407100,702800,,,,
814,sivakarthikeyan,Sivakarthikeyan Doss,5200000,India,460600,542500,,,,
815,lance210,Lance Stewart,6600000,United States,257000,426300,Cinema & Actors/actresses,Humor & Fun & Happiness,Entertainment,Entertainment
816,chieffkeeffsossa,Chief Keef,7800000,United States,196000,362500,,,,
817,seojuhyun_s,SEOHYUN 서현,7600000,Indonesia,295700,370600,Cinema & Actors/actresses,,Entertainment,
818,actor_jg,배우 이준기,6500000,Indonesia,372300,437300,Cinema & Actors/actresses,,Entertainment,
819,trueno,TR1 ⛈,6900000,Argentina,261600,407300,,,,
820,junhui_moon,JUN 文俊辉,2900000,Indonesia,797700,978800,Lifestyle,,Lifestyle,
821,asala,Asala,7200000,Iraq,316200,392000,Shows,,Entertainment,
822,mohanshakti,Shakti Mohan,16500000,India,138300,166100,Cinema & Actors/actresses,,Entertainment,
823,imouniroy,mon,24500000,India,92100,112200,Cinema & Actors/actresses,,Entertainment,
824,dominicfike,,3500000,United States,417800,795100,,,,
825,anthonyjoshua,,14300000,United Kingdom,141500,192000,Fitness & Gym,,Sports,
826,flay,FLAY 🎙,7700000,Brazil,174100,363500,Lifestyle,,Lifestyle,
827,gucci,,49000000,United States,42000,55700,Accessories & Jewellery,Clothing & Outfits,Beauty/Fashion,Beauty/Fashion
828,alexis_officia1,Sanchez Alexis,14500000,Chile,115400,190500,Sports with a ball,,Sports,
829,sthefanematos,STHE ⚓️,10000000,Brazil,123100,284300,Lifestyle,,Lifestyle,
830,jessicajane99,Jessica Jane,5900000,Indonesia,352000,463900,Shows,Modeling,Entertainment,Beauty/Fashion
831,tohi,𝐓𝐎𝐇𝐈,12100000,Iran,162000,240700,Lifestyle,,Lifestyle,
832,egorkreed,Егор Крид | #HeartBreakKid,14700000,Russia,151100,185300,,,,
833,dhanashree9,Dhanashree Verma,5200000,India,417200,525000,Lifestyle,Cinema & Actors/actresses,Lifestyle,Entertainment
834,blythe,Andrea Brillantes,13500000,Philippines,175400,199900,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion
835,anastasiya_kvitko,AK,12400000,United States,179400,219500,Lifestyle,Modeling,Lifestyle,Beauty/Fashion
836,natalee.007,Natalie Lee,7000000,United States,308600,394500,Modeling,,Beauty/Fashion,
837,fedevalverde,Fede Valverde,6600000,Spain,293800,416700,Sports with a ball,,Sports,
838,canelo,Saul Alvarez,13500000,Mexico,143800,200200,Fitness & Gym,,Sports,
839,alvaromorata,Álvaro Morata,17900000,Italy,96700,149500,Sports with a ball,Literature & Journalism,Sports,Info/Business
840,ms_puiyi,Siew Pui Yi 🤍,18700000,United States,112300,143800,Adult content,,Entertainment,
841,tamannaahspeaks,Tamannaah Bhatia,17700000,India,129400,151000,Cinema & Actors/actresses,,Entertainment,
842,tiagopzk,GOTTI A,5400000,Argentina,219400,501100,,,,
843,rafakalimann,Rafa Kalimann,23100000,Brazil,67300,121400,Modeling,,Beauty/Fashion,
844,letthelordbewithyou,Scott Disick,27500000,United States,64100,96900,Lifestyle,Family,Lifestyle,Lifestyle
845,jimmyfallon,Jimmy Fallon,23000000,United States,92500,115800,Shows,Humor & Fun & Happiness,Entertainment,Entertainment
846,sofiaalcastro,♡sofia castro,8800000,Colombia,225000,306400,Shows,Cinema & Actors/actresses,Entertainment,Entertainment
